Destination,Dial Codes,Effective Date,Time Band,Rate,Rate Change Indicator,A-number rates,Rounding Rules
Afghanistan,93,1/9/2022,Flat,0.13031,Decrease,,1-Jan
"Afghanistan,Mobile,Afghan Telecom",9375,1/9/2022,Flat,0.13031,Decrease,,1-Jan
"Afghanistan,Mobile,AWCC",9370,1/9/2022,Flat,0.1179,Decrease,,1-Jan
"Afghanistan,Mobile,AWCC",9371,1/9/2022,Flat,0.1179,Decrease,,1-Jan
"Afghanistan,Mobile,Etisalat",9373,1/9/2022,Flat,0.1179,Decrease,,1-Jan
"Afghanistan,Mobile,Etisalat",9378,1/9/2022,Flat,0.1179,Decrease,,1-Jan
"Afghanistan,Mobile,MTN",9376,1/9/2022,Flat,0.10127,Increase,,1-Jan
"Afghanistan,Mobile,MTN",9377,1/9/2022,Flat,0.10127,Increase,,1-Jan
"Afghanistan,Mobile,Roshan",9372,1/9/2022,Flat,0.12575,Decrease,,1-Jan
"Afghanistan,Mobile,Roshan",9379,1/9/2022,Flat,0.12575,Decrease,,1-Jan
"Afghanistan,Mobile,Salaam",9374,1/9/2022,Flat,0.1179,Decrease,,1-Jan
Albania,355,1/9/2022,Flat,0.09387,Increase,,1-Jan
"Albania,AMC Fixed",35521160,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521161,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521250,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521340,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521440,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",3552155,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521650,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521651,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521740,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521741,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",3552185,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35521940,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",3552253,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",3552254,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",3552440,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526160,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526250,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526293,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526323,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526350,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526363,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526373,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526383,1/9/2022,Flat,0.09743,Increase,,1-Jan
"Albania,AMC Fixed",35526450,1/9/2022,Flat,0.09743,Increase,,1-Jan
